family,filename,source_note,is_malware,sha256,md5,file_size_bytes,file_entropy,architecture,compile_timestamp,timestamp_year,temporal_bucket,num_sections,characteristics,dll_characteristics,has_aslr,has_dep,has_cfg,no_protections,subsystem,image_base,size_of_image,size_of_headers,small_header_flag,checksum,checksum_is_zero,linker_version,os_version,used_data_directory_count,has_bound_imports,entry_point_rva,entry_point_section,ep_is_in_last_section,section_names,max_section_entropy,avg_section_entropy,high_entropy_flag,suspicious_section_name,raw_virtual_mismatch,packer_section_detected,empty_section_name_count,exec_section_count,rwx_section_flag,writable_exec_section_count,entropy_bucket_0_low,entropy_bucket_1,entropy_bucket_2,entropy_bucket_3,entropy_bucket_4_high,import_count,import_dll_count,zero_imports,few_imports_flag,unpack_imports_flag,unpack_imports_count,inject_imports_flag,inject_imports_count,anti_analysis_imports_flag,anti_analysis_imports_count,crypto_imports_flag,crypto_imports_count,network_imports_flag,network_imports_count,dynamic_resolution_flag,ordinal_only_import_count,ordinal_only_ratio,export_count,has_exports,has_digital_signature,has_debug_directory,has_tls,resource_count,has_overlay,overlay_entropy,ep_rva_zero,timestamp_anomaly,size_of_image_vs_file,packing_score,total_string_count,extracted_urls,extracted_ips,extracted_onions,extracted_domains,extracted_useragents,url_count,ip_count,has_url_strings,has_shell_strings,has_registry_strings,has_crypto_strings,has_inject_strings,has_network_strings,has_mutex_strings,extracted_mutexes,has_dynamic_api_strings,dynamic_api_string_count,has_useragent_strings,has_base64_blobs,base64_blob_count,has_filepath_strings,filepath_string_count,triage_score,triage_tier,triage_fired,family_match,family_confidence,family_scores
Trickbot,11538d33c8725709ab2452fb27660892ac941e1e82b7d79d3f3180d12062cc99.zip→11538d33c8725709ab2452fb27660892ac941e1e82b7d79d3f3180d12062cc99.exe,manual,1,11538d33c8725709ab2452fb27660892ac941e1e82b7d79d3f3180d12062cc99,734447612a5a160f9f5f0607a348984c,725055,6.5398,x86,2021-07-06 21:22:05,2021,2020_2022,6,0x10e,0x0,0,0,0,1,2,0x400000,741376,4096,0,0,1,6.0,4.0,5,0,23957,.text,0,".text, .rdata, .data, .idata, .rsrc, .reloc",7.1555,5.2917,1,0,0,0,0,1,0,0,1,3,0,1,1,398,10,0,0,1,4,0,0,1,4,0,0,0,0,1,2,0.005,0,0,0,1,0,31,1,4.7447,0,0,1.02,4,2926,http://www.rsdn.ru | http://www.webutilities.com,,,,,2,0,1,0,0,0,0,1,0,,1,2,0,1,1,1,2,59,CRITICAL,PE checksum zeroed (packer artefact); No ASLR/DEP (legacy or manual build); LoadLibrary+GetProcAddress (import hiding); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Anti-debug/anti-analysis API imports; Base64-encoded blobs (encoded payload); Hardcoded file paths; High-entropy section (encrypted payload); URL / domain strings (C2 infrastructure); Overlay data (appended payload); Network/C2 strings,Trickbot,WEAK,Trickbot:100% | Emotet:100% | Upatre:100% | Zeus:100%
Trickbot,1532dcc03936ecb3d6836b6598cdc72b9e34eaa797497420d52530448714b766.zip→1532dcc03936ecb3d6836b6598cdc72b9e34eaa797497420d52530448714b766.dll,manual,1,1532dcc03936ecb3d6836b6598cdc72b9e34eaa797497420d52530448714b766,2a91d3d15c44db62a11d91cff29ee295,447488,5.1825,x86,2021-11-18 08:40:37,2021,2020_2022,4,0x2102,0x140,1,1,0,0,1,0x10000000,462848,1024,0,510033,0,14.16,6.0,2,0,440912,.text,0,".text, .rdata, .data, .reloc",5.1761,2.452,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0.0,0,0,1.03,1,15,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,24,0,0,8,LOW,Base64-encoded blobs (encoded payload); Zero import table (manual loading),Trickbot,UNKNOWN,Trickbot:19% | Formbook:11% | Emotet:0% | Lumma:0%
Trickbot,1662a8826aaf326ff50344c4038de0a3c67acb810dadc2036d08394d4feab1cd.zip→1662a8826aaf326ff50344c4038de0a3c67acb810dadc2036d08394d4feab1cd.exe,manual,1,1662a8826aaf326ff50344c4038de0a3c67acb810dadc2036d08394d4feab1cd,bff2e8f15fbe1cb0fe273d9f55a3cdb0,615322,6.4188,x86,2019-01-10 13:20:23,2019,2015_2019,3,0x10f,0x0,0,0,0,1,2,0x400000,466944,4096,0,157614,0,6.0,4.0,4,1,5064,.text,0,".text, .data, .rsrc",6.1592,3.8756,0,0,0,0,0,1,0,0,1,1,1,0,0,84,4,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0.0357,0,0,0,0,0,9,1,5.7004,0,0,0.76,2,255,,,,,,0,0,0,0,0,1,0,0,0,,1,4,0,1,1,1,1,31,HIGH,No ASLR/DEP (legacy or manual build); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Base64-encoded blobs (encoded payload); Hardcoded file paths; Overlay data (appended payload); Crypto-related strings,Upatre,WEAK,Upatre:70% | Zeus:67% | Trickbot:62% | Lumma:57%
Trickbot,17734caa69d900f972df17d7fbe08f1dcfc80e67687d9b3be98ce22e6d22c2ca.zip→17734caa69d900f972df17d7fbe08f1dcfc80e67687d9b3be98ce22e6d22c2ca.exe,manual,1,17734caa69d900f972df17d7fbe08f1dcfc80e67687d9b3be98ce22e6d22c2ca,cabc850dd4d3ea237b28410526085b10,698812,6.3836,x86,2019-01-10 13:20:23,2019,2015_2019,3,0x10f,0x0,0,0,0,1,2,0x400000,466944,4096,0,157614,0,6.0,4.0,4,1,5064,.text,0,".text, .data, .rsrc",6.1592,3.8756,0,0,0,0,0,1,0,0,1,1,1,0,0,84,4,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0.0357,0,0,0,0,0,9,1,5.7004,0,0,0.67,2,255,,,,,,0,0,0,0,0,1,0,0,0,,1,4,0,1,1,1,1,31,HIGH,No ASLR/DEP (legacy or manual build); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Base64-encoded blobs (encoded payload); Hardcoded file paths; Overlay data (appended payload); Crypto-related strings,Upatre,WEAK,Upatre:70% | Zeus:67% | Trickbot:62% | Lumma:57%
Trickbot,21023caae61aa166f804c8252afd964870fb3bdd0ea5da64d268b2010909402f.zip→21023caae61aa166f804c8252afd964870fb3bdd0ea5da64d268b2010909402f.exe,manual,1,21023caae61aa166f804c8252afd964870fb3bdd0ea5da64d268b2010909402f,5f7a55c4158504c0ad2e00bd7082db40,614310,6.4192,x86,2019-01-10 13:20:23,2019,2015_2019,3,0x10f,0x0,0,0,0,1,2,0x400000,466944,4096,0,157614,0,6.0,4.0,4,1,5064,.text,0,".text, .data, .rsrc",6.1592,3.8756,0,0,0,0,0,1,0,0,1,1,1,0,0,84,4,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0.0357,0,0,0,0,0,9,1,5.7004,0,0,0.76,2,255,,,,,,0,0,0,0,0,1,0,0,0,,1,4,0,1,1,1,1,31,HIGH,No ASLR/DEP (legacy or manual build); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Base64-encoded blobs (encoded payload); Hardcoded file paths; Overlay data (appended payload); Crypto-related strings,Upatre,WEAK,Upatre:70% | Zeus:67% | Trickbot:62% | Lumma:57%
Trickbot,342c6f896cfd65506ce1940e8c9902e47f2921830ca8085d1e2847fc7b7cb102.zip→342c6f896cfd65506ce1940e8c9902e47f2921830ca8085d1e2847fc7b7cb102.exe,manual,1,342c6f896cfd65506ce1940e8c9902e47f2921830ca8085d1e2847fc7b7cb102,f0b1d40c2f19222e6023cded6349f26c,438784,7.5016,x86,2021-08-26 11:03:00,2021,2020_2022,5,0x102,0x8140,1,1,0,0,2,0x400000,462848,1024,0,0,1,10.0,5.1,6,0,35227,.text,0,".text, .rdata, .data, .rsrc, .reloc",7.8959,5.7536,1,0,0,0,0,1,0,0,1,1,1,1,1,105,3,0,0,1,4,0,0,1,5,0,0,0,0,1,0,0.0,0,0,0,1,0,11,0,0.0,0,0,1.05,3,1909,,8.8.8.8,,,,0,1,0,0,0,0,0,1,1,dcd3e4ede8edba6d5feccf8873337bcf69 | b54ad66ceb6786744fb573e3c8df479c9ddb6bec5a4747b7e36bfd56baeb | 9ff3c647bd85ff4b3f4d88ad6875dd4df9aa9aba8b7c39765eb | 3f44f358875fa8b6cc6c64abd9e9383b6adaadbd | b3fc969c999485d4b33dcca4f3944dd8d3653e467b87dcda39c53bfa76ed | b955dbef546d54639ed8a7ced855b83e86b854656b57ff53d8c7689d,1,2,0,1,6,1,1,49,CRITICAL,PE checksum zeroed (packer artefact); LoadLibrary+GetProcAddress (import hiding); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Anti-debug/anti-analysis API imports; Base64-encoded blobs (encoded payload); Hardcoded file paths; High-entropy section (encrypted payload); Network/C2 strings; Mutex name strings,Emotet,PROBABLE,Emotet:100% | Trickbot:88% | Formbook:68% | Lumma:64%
Trickbot,3b01e80fb0fb3746e3b75d29977f48cb476143bf46e8148359f5731efd880eb1.zip→3b01e80fb0fb3746e3b75d29977f48cb476143bf46e8148359f5731efd880eb1.exe,manual,1,3b01e80fb0fb3746e3b75d29977f48cb476143bf46e8148359f5731efd880eb1,d417515668623ccd9b590ab06690416a,593979,6.6191,x86,2021-07-06 21:25:42,2021,2020_2022,4,0x10f,0x0,0,0,0,1,2,0x400000,610304,4096,0,0,1,6.0,4.0,4,0,22461,.text,0,".text, .rdata, .data, .rsrc",6.5747,5.6133,0,0,0,0,0,1,0,0,0,2,1,1,0,395,8,0,0,1,4,0,0,1,4,0,0,0,0,1,1,0.0025,0,0,0,1,0,31,1,4.5483,0,0,1.03,3,2134,,,,,,0,0,0,0,0,0,0,1,0,,1,2,0,1,2,1,1,51,CRITICAL,PE checksum zeroed (packer artefact); No ASLR/DEP (legacy or manual build); LoadLibrary+GetProcAddress (import hiding); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Anti-debug/anti-analysis API imports; Base64-encoded blobs (encoded payload); Hardcoded file paths; Overlay data (appended payload); Network/C2 strings,Emotet,WEAK,Emotet:100% | Upatre:100% | Zeus:100% | Trickbot:94%
Trickbot,46401903e85a5c457490a6934ec4dc61fdf28df83af37741e1566a2abb290ecb.zip→46401903e85a5c457490a6934ec4dc61fdf28df83af37741e1566a2abb290ecb.exe,manual,1,46401903e85a5c457490a6934ec4dc61fdf28df83af37741e1566a2abb290ecb,bcc84e9ca2d9f96f741272bb800aa08c,528443,7.0226,x86,2021-07-06 21:26:21,2021,2020_2022,4,0x10f,0x0,0,0,0,1,2,0x400000,544768,4096,0,0,1,6.0,4.0,4,0,22461,.text,0,".text, .rdata, .data, .rsrc",7.2358,5.7825,1,0,0,0,0,1,0,0,0,2,1,0,1,395,8,0,0,1,4,0,0,1,4,0,0,0,0,1,1,0.0025,0,0,0,1,0,29,1,4.5483,0,0,1.03,4,2183,,,,,,0,0,0,0,0,0,0,1,0,,1,2,0,1,2,1,1,56,CRITICAL,PE checksum zeroed (packer artefact); No ASLR/DEP (legacy or manual build); LoadLibrary+GetProcAddress (import hiding); Dynamic API name strings in binary; Unpacking API imports (VirtualAlloc etc.); Anti-debug/anti-analysis API imports; Base64-encoded blobs (encoded payload); Hardcoded file paths; High-entropy section (encrypted payload); Overlay data (appended payload); Network/C2 strings,Emotet,WEAK,Emotet:100% | Upatre:100% | Zeus:100% | Trickbot:94%
Trickbot,487178988d7c3bebc34fe2c40f1b19cd8f89f2753d552a19c4fe5da82f22d828.zip→487178988d7c3bebc34fe2c40f1b19cd8f89f2753d552a19c4fe5da82f22d828.exe,manual,1,487178988d7c3bebc34fe2c40f1b19cd8f89f2753d552a19c4fe5da82f22d828,c943e46ad3c645b2a378169a2f1a201a,1374274,7.7515,x86,2013-10-14 05:50:27,2013,pre_2015,5,0x102,0x8140,1,1,0,0,2,0x400000,1306624,1024,0,1286996,0,11.0,6.3,7,0,26572,.text,0,".text, .data, .idata, .rsrc, .reloc",7.762,5.2188,1,0,1,0,0,1,0,0,2,1,1,0,1,156,8,0,0,0,0,0,0,1,4,0,0,0,0,1,5,0.0321,0,0,1,1,0,39,1,6.3857,0,0,0.95,3,5363,http://cacerts.digicert.com/DigiCertAssuredIDRootCA.crt0 | http://cacerts.digicert.com/DigiCertSHA2AssuredIDCodeSigningCA.crt0 | http://cacerts.digicert.com/DigiCertSHA2AssuredIDTimestampingCA.crt0 | http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl0O | http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl0P | http://crl3.digicert.com/sha2-assured-cs-g1.crl05 | http://crl3.digicert.com/sha2-assured-ts.crl02 | http://crl4.digicert.com/DigiCertAssuredIDRootCA.crl0: | http://crl4.digicert.com/sha2-assured-cs-g1.crl0L | http://crl4.digicert.com/sha2-assured-ts.crl0 | http://ocsp.digicert.com0C | http://ocsp.digicert.com0N | http://ocsp.digicert.com0O | http://www.digicert.com/CPS0 | https://mozilla.org0 | https://www.digicert.com/CPS0,5.1.0.0,,Command.com | t.CC,,16,1,1,0,1,1,0,1,0,,1,1,0,1,1,1,4,45,CRITICAL,LoadLibrary+GetProcAddress (import hiding); Dynamic API name strings in binary; Anti-debug/anti-analysis API imports; Base64-encoded blobs (encoded payload); Hardcoded file paths; High-entropy section (encrypted payload); URL / domain strings (C2 infrastructure); Overlay data (appended payload); Raw/virtual size mismatch (in-mem unpack); Network/C2 strings; Crypto-related strings,Trickbot,WEAK,Trickbot:81% | Emotet:75% | Lumma:71% | Zeus:58%
Trickbot,5082d55269ff1e50c85bbd318e6e52cdca8a62425ff7fc33fd010dccde070d3f.zip→5082d55269ff1e50c85bbd318e6e52cdca8a62425ff7fc33fd010dccde070d3f.dll,manual,1,5082d55269ff1e50c85bbd318e6e52cdca8a62425ff7fc33fd010dccde070d3f,6ef7b6485185a1f074244dd6a96cbe94,447488,5.1826,x86,2021-11-18 08:40:37,2021,2020_2022,4,0x2102,0x140,1,1,0,0,1,0x10000000,462848,1024,0,510033,0,14.16,6.0,2,0,440912,.text,0,".text, .rdata, .data, .reloc",5.1761,2.451,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0.0,0,0,1.03,1,17,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,1,24,0,0,8,LOW,Base64-encoded blobs (encoded payload); Zero import table (manual loading),Trickbot,UNKNOWN,Trickbot:19% | Formbook:11% | Emotet:0% | Lumma:0%
